the,22003
to,16118
ect,11643
and,11337
for,9430
of,9382
a,8815
you,7289
hou,7283
in,6885
on,6723
is,6664
this,5895
enron,5282
i,4748
be,4623
that,4267
will,3783
have,3746
with,3570
your,3506
at,3371
we,3349
s,3219
are,3045
it,2942
by,2852
com,2802
as,2793
from,2783
gas,2756
or,2723
not,2653
me,2416
deal,2381
if,2359
meter,2179
hpl,2116
please,1959
re,1954
e,1774
any,1766
our,1765
corp,1753
can,1717
d,1699
all,1594
has,1562
was,1538
know,1465
need,1357
an,1357
forwarded,1292
new,1291
t,1288
may,1273
up,1251
j,1239
mmbtu,1193
should,1157
do,1157
am,1103
get,1090
out,1077
see,1075
no,1060
there,1049
price,1036
daren,1024
but,1000
been,992
company,970
l,961
these,960
let,956
so,942
would,941
m,929
into,915
xls,915
farmer,911
attached,905
us,896
information,896
they,895
message,886
day,883
time,878
my,848
one,844
what,829
only,822
http,807
th,800
volume,787
mail,774
contract,770
which,755
month,754
more,747
robert,737
sitara,735
about,730
texas,729
nom,724
energy,718
pec,709
questions,705
www,690
deals,689
volumes,683
pm,677
ena,674
now,669
their,666
file,655
some,634
email,624
just,618
also,617
call,616
change,613
other,606
here,598
like,593
b,589
flow,585
net,584
following,569
p,566
production,559
when,553
over,552
back,541
want,534
original,533
them,520
below,513
o,510
ticket,509
c,509
he,505
could,502
make,497
inc,493
report,492
march,488
contact,483
were,480
days,480
list,476
nomination,474
system,474
who,473
april,473
number,472
sale,472
don,464
its,463
first,459
thanks,455
business,455
help,453
per,448
through,447
july,446
forward,444
font,443
free,442
daily,440
use,439
order,439
today,437
r,435
had,432
fw,429
set,423
plant,420
statements,419
go,416
gary,413
oil,411
line,408
sales,402
w,401
effective,396
well,393
tenaska,390
take,387
june,380
x,379
within,378
nbsp,377
she,376
how,375
north,371
america,370
being,369
under,365
next,363
week,362
than,360
january,359
last,356
two,356
service,356
purchase,354
name,352
less,348
height,347
off,345
agreement,345
k,344
work,342
tap,340
group,339
year,338
based,337
transport,337
after,335
think,334
made,333
each,333
available,333
changes,328
due,328
f,327
h,326
services,324
smith,322
send,321
management,321
stock,319
sent,319
ll,319
co,317
office,316
needs,316
cotten,314
did,313
actuals,313
u,313
money,310
before,310
looking,308
then,307
pills,307
online,305
request,305
look,305
desk,305
ami,304
his,303
same,303
george,300
chokshi,299
point,298
delivery,296
friday,294
does,294
size,294
august,294
product,293
pat,292
width,292
iv,289
noms,286
address,286
above,285
sure,284
give,283
october,283
future,282
find,282
market,275
n,274
mary,273
vance,272
melissa,269
said,269
internet,269
still,268
account,267
those,267
down,267
link,267
hsc,266
rate,265
people,264
pipeline,264
best,263
actual,262
very,261
end,261
home,261
houston,260
tu,260
high,259
her,258
team,258
products,258
many,257
currently,257
spot,257
receive,256
good,256
such,256
going,255
process,255
feb,255
monday,254
info,254
david,253
lloyd,253
again,253
both,253
click,253
subject,253
jackie,252
december,251
total,251
na,251
lisa,250
ve,250
september,250
hours,246
until,246
resources,245
because,245
aol,245
february,244
where,242
g,241
investment,241
issue,241
duke,241
since,240
pay,240
show,239
way,238
global,238
computron,238
further,237
most,237
place,237
offer,237
natural,237
activity,237
eastrans,237
graves,236
right,236
prices,236
date,235
john,235
utilities,235
november,234
clynes,234
jan,232
securities,232
meeting,231
susan,231
hplc,230
julie,229
able,229
received,229
align,227
term,226
id,224
revised,223
thursday,223
pg,223
fee,222
hplno,222
trading,221
additional,219
site,219
txu,219
data,218
wellhead,218
reply,218
taylor,217
news,217
unify,216
michael,216
provide,214
note,214
much,214
access,214
lannou,213
every,213
between,212
keep,211
tuesday,211
review,211
great,210
tom,210
put,209
done,208
long,208
save,208
section,208
must,207
v,206
part,206
nd,206
million,206
check,206
trade,205
bob,204
created,204
steve,203
prior,202
copy,202
continue,201
numbers,201
via,200
world,200
demand,200
hanks,200
contracts,199
phone,199
transaction,199
customer,199
possible,198
pefs,198
meyers,197
months,197
special,197
without,197
used,197
regarding,197
software,197
howard,196
support,196
buy,196
young,195
meters,195
thru,195
believe,195
gcs,195
cec,195
entered,194
control,194
dec,193
